varjo_timestamp,varjo_timestamp_unix,system_timestamp_utc,sytem_timestamp_local
1000006565774077800,1771756552016289200,2026-02-22_10:35:52.016,2026-02-22_19:35:52.016
1000006565874820600,1771756552117032000,2026-02-22_10:35:52.117,2026-02-22_19:35:52.117
1000006565974967500,1771756552217178900,2026-02-22_10:35:52.217,2026-02-22_19:35:52.217
1000006566075096800,1771756552317308200,2026-02-22_10:35:52.317,2026-02-22_19:35:52.317
1000006566175232900,1771756552417444300,2026-02-22_10:35:52.417,2026-02-22_19:35:52.417
1000006566275413300,1771756552517624700,2026-02-22_10:35:52.517,2026-02-22_19:35:52.517
1000006566375544800,1771756552617756200,2026-02-22_10:35:52.617,2026-02-22_19:35:52.617
1000006566475682900,1771756552717894300,2026-02-22_10:35:52.717,2026-02-22_19:35:52.717
1000006566575823500,1771756552818034900,2026-02-22_10:35:52.818,2026-02-22_19:35:52.818
1000006566675981100,1771756552918192500,2026-02-22_10:35:52.918,2026-02-22_19:35:52.918
1000006566776093000,1771756553018304400,2026-02-22_10:35:53.018,2026-02-22_19:35:53.018
1000006566876225400,1771756553118436800,2026-02-22_10:35:53.118,2026-02-22_19:35:53.118
1000006566976420900,1771756553218632300,2026-02-22_10:35:53.218,2026-02-22_19:35:53.218
1000006567076538800,1771756553318750200,2026-02-22_10:35:53.318,2026-02-22_19:35:53.318
1000006567176715900,1771756553418927300,2026-02-22_10:35:53.418,2026-02-22_19:35:53.418
1000006567276877600,1771756553519089000,2026-02-22_10:35:53.519,2026-02-22_19:35:53.519
1000006567377016000,1771756553619227400,2026-02-22_10:35:53.619,2026-02-22_19:35:53.619
1000006567477170600,1771756553719382000,2026-02-22_10:35:53.719,2026-02-22_19:35:53.719
